ovm_0011,769.152,901.285,0,
ovm_0012,1301.72,901.287,0,
ovm_0013,1301.82,368.491,0,
ovm_0014,769.059,368.496,0,
ovm_0021,1662.47,901.263,0,
ovm_0022,2195.04,901.269,0,
ovm_0023,2195.14,368.494,0,
ovm_0024,1662.38,368.495,0,
ovm_0031,2550.47,901.221,0,
ovm_0032,3083.66,901.365,0,
ovm_0033,3083.74,368.394,0,
ovm_0034,2550.38,368.564,0,
ovm_0041,3443.32,901.27,0,
ovm_0042,3975.88,901.262,0,
ovm_0043,3975.98,368.494,0,
ovm_0044,3443.22,368.5,0,
ovm_0051,4335.55,901.38,0,
ovm_0052,4868.73,901.213,0,
ovm_0053,4868.82,368.564,0,
ovm_0054,4335.45,368.393,0,
ovm_0061,5224.16,901.274,0,
ovm_0062,5756.74,901.275,0,
ovm_0063,5756.82,368.491,0,
ovm_0064,5224.06,368.496,0,
ovm_0071,6117.47,901.29,0,
ovm_0072,6650.05,901.285,0,
ovm_0073,6650.13,368.501,0,
ovm_0074,6117.38,368.495,0,
ovm_0081,7005.47,901.225,0,
ovm_0082,7538.66,901.381,0,
ovm_0083,7538.76,368.397,0,
ovm_0084,7005.38,368.561,0,
ovm_0091,7898.31,901.283,0,
ovm_0092,8430.89,901.281,0,
ovm_0093,8430.98,368.494,0,
ovm_0094,7898.23,368.494,0,
ovm_0101,8790.55,901.357,0,
ovm_0102,9323.73,901.222,0,
ovm_0103,9323.82,368.564,0,
ovm_0104,8790.46,368.395,0,
ovm_0111,9679.15,901.285,0,
ovm_0112,10211.7,901.275,0,
ovm_0113,10211.8,368.491,0,
ovm_0114,9679.07,368.503,0,
ovm_0121,10572.5,901.263,0,
ovm_0122,11105,901.265,0,
ovm_0123,11105.1,368.495,0,
ovm_0124,10572.4,368.501,0,
ovm_0131,769.108,1789.05,0,
ovm_0132,1301.79,1789.04,0,
ovm_0133,1301.77,1256.38,0,
ovm_0134,769.111,1256.38,0,
ovm_0141,1662.41,1789.05,0,
ovm_0142,2195.1,1789.05,0,
ovm_0143,2195.09,1256.38,0,
ovm_0144,1662.42,1256.38,0,
ovm_0151,2550.43,1788.97,0,
ovm_0152,3083.67,1789.13,0,
ovm_0153,3083.67,1256.3,0,
ovm_0154,2550.43,1256.46,0,
ovm_0161,3443.27,1789.06,0,
ovm_0162,3975.94,1789.05,0,
ovm_0163,3975.93,1256.38,0,
ovm_0164,3443.28,1256.38,0,
ovm_0171,4335.5,1789.14,0,
ovm_0172,4868.76,1788.97,0,
ovm_0173,4868.76,1256.46,0,
ovm_0174,4335.54,1256.3,0,
ovm_0181,5224.11,1789.06,0,
ovm_0182,5756.78,1789.04,0,
ovm_0183,5756.78,1256.38,0,
ovm_0184,5224.11,1256.38,0,
ovm_0191,6117.42,1789.06,0,
ovm_0192,6650.1,1789.05,0,
ovm_0193,6650.1,1256.38,0,
ovm_0194,6117.42,1256.38,0,
ovm_0201,7005.43,1788.97,0,
ovm_0202,7538.69,1789.13,0,
ovm_0203,7538.68,1256.3,0,
ovm_0204,7005.43,1256.46,0,
ovm_0211,7898.27,1789.06,0,
ovm_0212,8430.94,1789.05,0,
ovm_0213,8430.93,1256.38,0,
ovm_0214,7898.27,1256.38,0,
ovm_0221,8790.53,1789.13,0,
ovm_0222,9323.77,1788.98,0,
ovm_0223,9323.76,1256.46,0,
ovm_0224,8790.53,1256.3,0,
ovm_0231,9679.11,1789.05,0,
ovm_0232,10211.8,1789.04,0,
ovm_0233,10211.8,1256.38,0,
ovm_0234,9679.11,1256.38,0,
ovm_0241,10572.4,1789.06,0,
ovm_0242,11105.1,1789.05,0,
ovm_0243,11105.1,1256.38,0,
ovm_0244,10572.4,1256.38,0,
ovm_0251,769.106,2682.35,0,
ovm_0252,1301.78,2682.35,0,
ovm_0253,1301.77,2149.69,0,
ovm_0254,769.107,2149.7,0,
ovm_0261,1662.42,2682.35,0,
ovm_0262,2195.09,2682.35,0,
ovm_0263,2195.08,2149.69,0,
ovm_0264,1662.42,2149.69,0,
ovm_0271,2550.44,2682.28,0,
ovm_0272,3083.66,2682.43,0,
ovm_0273,3083.67,2149.61,0,
ovm_0274,2550.44,2149.77,0,
ovm_0281,3443.27,2682.35,0,
ovm_0282,3975.93,2682.35,0,
ovm_0283,3975.93,2149.7,0,
ovm_0284,3443.27,2149.71,0,
ovm_0291,4335.54,2682.43,0,
ovm_0292,4868.76,2682.27,0,
ovm_0293,4868.76,2149.78,0,
ovm_0294,4335.54,2149.6,0,
ovm_0301,5224.11,2682.35,0,
ovm_0302,5756.78,2682.35,0,
ovm_0303,5756.78,2149.69,0,
ovm_0304,5224.1,2149.71,0,
ovm_0311,6117.43,2682.36,0,
ovm_0312,6650.09,2682.35,0,
ovm_0313,6650.09,2149.7,0,
ovm_0314,6117.43,2149.69,0,
ovm_0321,7005.44,2682.28,0,
ovm_0322,7538.67,2682.44,0,
ovm_0323,7538.66,2149.61,0,
ovm_0324,7005.43,2149.78,0,
ovm_0331,7898.27,2682.35,0,
ovm_0332,8430.93,2682.35,0,
ovm_0333,8430.93,2149.7,0,
ovm_0334,7898.27,2149.71,0,
ovm_0341,8790.54,2682.42,0,
ovm_0342,9323.77,2682.27,0,
ovm_0343,9323.76,2149.78,0,
ovm_0344,8790.53,2149.61,0,
ovm_0351,9679.11,2682.35,0,
ovm_0352,10211.8,2682.35,0,
ovm_0353,10211.8,2149.68,0,
ovm_0354,9679.11,2149.7,0,
ovm_0361,10572.4,2682.35,0,
ovm_0362,11105.1,2682.35,0,
ovm_0363,11105.1,2149.69,0,
ovm_0364,10572.4,2149.69,0,
ovm_0371,769.038,3570.65,0,
ovm_0372,1301.85,3570.64,0,
ovm_0373,1301.7,3037.57,0,
ovm_0374,769.172,3037.57,0,
ovm_0381,1662.35,3570.65,0,
ovm_0382,2195.17,3570.65,0,
ovm_0383,2195.03,3037.57,0,
ovm_0384,1662.48,3037.57,0,
ovm_0391,2550.35,3570.58,0,
ovm_0392,3083.78,3570.77,0,
ovm_0393,3083.67,3037.48,0,
ovm_0394,2550.48,3037.63,0,
ovm_0401,3443.2,3570.65,0,
ovm_0402,3976,3570.65,0,
ovm_0403,3975.87,3037.57,0,
ovm_0404,3443.34,3037.57,0,
ovm_0411,4335.41,3570.78,0,
ovm_0412,4868.85,3570.58,0,
ovm_0413,4868.71,3037.63,0,
ovm_0414,4335.55,3037.47,0,
ovm_0421,5224.04,3570.67,0,
ovm_0422,5756.85,3570.65,0,
ovm_0423,5756.71,3037.57,0,
ovm_0424,5224.17,3037.57,0,
ovm_0431,6117.35,3570.66,0,
ovm_0432,6650.16,3570.66,0,
ovm_0433,6650.03,3037.57,0,
ovm_0434,6117.48,3037.57,0,
ovm_0441,7005.35,3570.58,0,
ovm_0442,7538.8,3570.77,0,
ovm_0443,7538.65,3037.47,0,
ovm_0444,7005.48,3037.63,0,
ovm_0451,7898.2,3570.65,0,
ovm_0452,8431.01,3570.65,0,
ovm_0453,8430.87,3037.57,0,
ovm_0454,7898.34,3037.57,0,
ovm_0461,8790.42,3570.77,0,
ovm_0462,9323.85,3570.58,0,
ovm_0463,9323.71,3037.63,0,
ovm_0464,8790.53,3037.48,0,
ovm_0471,9679.04,3570.66,0,
ovm_0472,10211.8,3570.65,0,
ovm_0473,10211.7,3037.57,0,
ovm_0474,9679.17,3037.57,0,
ovm_0481,10572.3,3570.65,0,
ovm_0482,11105.2,3570.65,0,
ovm_0483,11105,3037.57,0,
ovm_0484,10572.5,3037.57,0,
ovm_0491,769.115,4463.2,0,
ovm_0492,1301.78,4463.19,0,
ovm_0493,1301.78,3930.54,0,
ovm_0494,769.108,3930.55,0,
ovm_0501,1662.42,4463.2,0,
ovm_0502,2195.09,4463.19,0,
ovm_0503,2195.08,3930.53,0,
ovm_0504,1662.43,3930.53,0,
ovm_0511,2550.44,4463.11,0,
ovm_0512,3083.67,4463.27,0,
ovm_0513,3083.66,3930.45,0,
ovm_0514,2550.43,3930.62,0,
ovm_0521,3443.27,4463.2,0,
ovm_0522,3975.93,4463.19,0,
ovm_0523,3975.92,3930.54,0,
ovm_0524,3443.26,3930.55,0,
ovm_0531,4335.51,4463.28,0,
ovm_0532,4868.76,4463.11,0,
ovm_0533,4868.76,3930.62,0,
ovm_0534,4335.51,3930.47,0,
ovm_0561,7005.44,4463.11,0,
ovm_0562,7538.68,4463.27,0,
ovm_0563,7538.66,3930.45,0,
ovm_0564,7005.43,3930.62,0,
ovm_0571,7898.27,4463.2,0,
ovm_0572,8430.93,4463.19,0,
ovm_0573,8430.92,3930.53,0,
ovm_0574,7898.27,3930.55,0,
ovm_0581,8790.53,4463.28,0,
ovm_0582,9323.76,4463.11,0,
ovm_0583,9323.77,3930.62,0,
ovm_0584,8790.53,3930.47,0,
ovm_0591,9679.11,4463.2,0,
ovm_0592,10211.8,4463.19,0,
ovm_0593,10211.8,3930.53,0,
ovm_0594,9679.11,3930.55,0,
ovm_0601,10572.4,4463.19,0,
ovm_0602,11105.1,4463.19,0,
ovm_0603,11105.1,3930.54,0,
ovm_0604,10572.4,3930.53,0,
ovm_0611,769.17,5356.16,0,
ovm_0612,1301.7,5356.17,0,
ovm_0613,1301.85,4823.08,0,
ovm_0614,769.039,4823.08,0,
ovm_0621,1662.5,5356.17,0,
ovm_0622,2195.03,5356.16,0,
ovm_0623,2195.17,4823.08,0,
ovm_0624,1662.36,4823.08,0,
ovm_0631,2550.48,5356.1,0,
ovm_0632,3083.67,5356.26,0,
ovm_0633,3083.78,4822.96,0,
ovm_0634,2550.35,4823.15,0,
ovm_0641,3443.34,5356.16,0,
ovm_0642,3975.87,5356.16,0,
ovm_0643,3976,4823.08,0,
ovm_0644,3443.2,4823.08,0,
ovm_0651,4335.55,5356.26,0,
ovm_0652,4868.72,5356.1,0,
ovm_0653,4868.85,4823.15,0,
ovm_0654,4335.41,4822.96,0,
ovm_0661,5224.17,5356.17,0,
ovm_0662,5756.71,5356.17,0,
ovm_0663,5756.85,4823.08,0,
ovm_0664,5224.04,4823.07,0,
ovm_0671,6117.49,5356.17,0,
ovm_0672,6650.03,5356.16,0,
ovm_0673,6650.16,4823.07,0,
ovm_0674,6117.36,4823.08,0,
ovm_0681,7005.48,5356.1,0,
ovm_0682,7538.65,5356.26,0,
ovm_0683,7538.79,4822.96,0,
ovm_0684,7005.35,4823.15,0,
ovm_0691,7898.33,5356.16,0,
ovm_0692,8430.87,5356.16,0,
ovm_0693,8431,4823.08,0,
ovm_0694,7898.2,4823.08,0,
ovm_0701,8790.53,5356.26,0,
ovm_0702,9323.71,5356.1,0,
ovm_0703,9323.85,4823.15,0,
ovm_0704,8790.42,4822.96,0,
ovm_0711,9679.17,5356.16,0,
ovm_0712,10211.7,5356.17,0,
ovm_0713,10211.8,4823.08,0,
ovm_0714,9679.04,4823.08,0,
ovm_0721,10572.5,5356.17,0,
ovm_0722,11105,5356.16,0,
ovm_0723,11105.2,4823.09,0,
ovm_0724,10572.4,4823.08,0,
ovm_0731,769.112,6244.04,0,
ovm_0732,1301.78,6244.02,0,
ovm_0733,1301.78,5711.38,0,
ovm_0734,769.111,5711.38,0,
ovm_0741,1662.42,6244.04,0,
ovm_0742,2195.09,6244.03,0,
ovm_0743,2195.09,5711.38,0,
ovm_0744,1662.42,5711.38,0,
ovm_0751,2550.43,6243.95,0,
ovm_0752,3083.68,6244.11,0,
ovm_0753,3083.67,5711.3,0,
ovm_0754,2550.43,5711.46,0,
ovm_0761,3443.28,6244.05,0,
ovm_0762,3975.93,6244.03,0,
ovm_0763,3975.93,5711.38,0,
ovm_0764,3443.27,5711.38,0,
ovm_0771,4335.52,6244.12,0,
ovm_0772,4868.76,6243.95,0,
ovm_0773,4868.76,5711.46,0,
ovm_0774,4335.51,5711.3,0,
ovm_0781,5224.11,6244.03,0,
ovm_0782,5756.77,6244.03,0,
ovm_0783,5756.78,5711.38,0,
ovm_0784,5224.11,5711.38,0,
ovm_0791,6117.42,6244.04,0,
ovm_0792,6650.09,6244.03,0,
ovm_0793,6650.1,5711.38,0,
ovm_0794,6117.42,5711.38,0,
ovm_0801,7005.44,6243.95,0,
ovm_0802,7538.67,6244.13,0,
ovm_0803,7538.69,5711.31,0,
ovm_0804,7005.43,5711.46,0,
ovm_0811,7898.28,6244.04,0,
ovm_0812,8430.93,6244.04,0,
ovm_0813,8430.93,5711.38,0,
ovm_0814,7898.28,5711.38,0,
ovm_0821,8790.54,6244.11,0,
ovm_0822,9323.76,6243.96,0,
ovm_0823,9323.76,5711.46,0,
ovm_0824,8790.53,5711.3,0,
ovm_0831,9679.11,6244.03,0,
ovm_0832,10211.8,6244.02,0,
ovm_0833,10211.8,5711.38,0,
ovm_0834,9679.11,5711.38,0,
ovm_0841,10572.4,6244.04,0,
ovm_0842,11105.1,6244.03,0,
ovm_0843,11105.1,5711.38,0,
ovm_0844,10572.4,5711.38,0,
ovm_0851,769.106,7137.35,0,
ovm_0852,1301.78,7137.35,0,
ovm_0853,1301.78,6604.66,0,
ovm_0854,769.104,6604.69,0,
ovm_0861,1662.42,7137.35,0,
ovm_0862,2195.09,7137.35,0,
ovm_0863,2195.09,6604.68,0,
ovm_0864,1662.42,6604.67,0,
ovm_0871,2550.44,7137.28,0,
ovm_0872,3083.66,7137.44,0,
ovm_0873,3083.66,6604.59,0,
ovm_0874,2550.43,6604.76,0,
ovm_0881,3443.27,7137.35,0,
ovm_0882,3975.93,7137.35,0,
ovm_0883,3975.93,6604.68,0,
ovm_0884,3443.26,6604.69,0,
ovm_0891,4335.54,7137.42,0,
ovm_0892,4868.76,7137.27,0,
ovm_0893,4868.77,6604.76,0,
ovm_0894,4335.5,6604.59,0,
ovm_0901,5224.11,7137.35,0,
ovm_0902,5756.78,7137.35,0,
ovm_0903,5756.78,6604.67,0,
ovm_0904,5224.1,6604.68,0,
ovm_0911,6117.42,7137.35,0,
ovm_0912,6650.09,7137.35,0,
ovm_0913,6650.09,6604.68,0,
ovm_0914,6117.42,6604.66,0,
ovm_0921,7005.44,7137.28,0,
ovm_0922,7538.67,7137.43,0,
ovm_0923,7538.68,6604.59,0,
ovm_0924,7005.43,6604.74,0,
ovm_0931,7898.27,7137.35,0,
ovm_0932,8430.93,7137.35,0,
ovm_0933,8430.94,6604.68,0,
ovm_0934,7898.26,6604.69,0,
ovm_0941,8790.54,7137.43,0,
ovm_0942,9323.76,7137.27,0,
ovm_0943,9323.77,6604.77,0,
ovm_0944,8790.53,6604.6,0,
ovm_0951,9679.11,7137.36,0,
ovm_0952,10211.8,7137.35,0,
ovm_0953,10211.8,6604.68,0,
ovm_0954,9679.1,6604.69,0,
ovm_0961,10572.4,7137.36,0,
ovm_0962,11105.1,7137.35,0,
ovm_0963,11105.1,6604.67,0,
ovm_0964,10572.4,6604.67,0,
ovm_0971,769.069,8025.24,0,
ovm_0972,1301.83,8025.24,0,
ovm_0973,1301.72,7492.47,0,
ovm_0974,769.156,7492.47,0,
ovm_0981,1662.37,8025.23,0,
ovm_0982,2195.15,8025.23,0,
ovm_0983,2195.05,7492.45,0,
ovm_0984,1662.47,7492.45,0,
ovm_0991,2550.38,8025.16,0,
ovm_0992,3083.73,8025.35,0,
ovm_0993,3083.66,7492.38,0,
ovm_0994,2550.47,7492.51,0,
ovm_1001,3443.23,8025.24,0,
ovm_1002,3975.98,8025.24,0,
ovm_1003,3975.89,7492.45,0,
ovm_1004,3443.32,7492.45,0,
ovm_1011,4335.44,8025.34,0,
ovm_1012,4868.82,8025.17,0,
ovm_1013,4868.73,7492.52,0,
ovm_1014,4335.54,7492.36,0,
ovm_1021,5224.07,8025.24,0,
ovm_1022,5756.82,8025.24,0,
ovm_1023,5756.72,7492.44,0,
ovm_1024,5224.15,7492.45,0,
ovm_1031,6117.38,8025.25,0,
ovm_1032,6650.14,8025.23,0,
ovm_1033,6650.04,7492.45,0,
ovm_1034,6117.46,7492.45,0,
ovm_1041,7005.38,8025.17,0,
ovm_1042,7538.76,8025.35,0,
ovm_1043,7538.66,7492.36,0,
ovm_1044,7005.47,7492.52,0,
ovm_1051,7898.23,8025.24,0,
ovm_1052,8430.98,8025.24,0,
ovm_1053,8430.88,7492.46,0,
ovm_1054,7898.32,7492.47,0,
ovm_1061,8790.46,8025.35,0,
ovm_1062,9323.82,8025.16,0,
ovm_1063,9323.73,7492.52,0,
ovm_1064,8790.55,7492.37,0,
ovm_1071,9679.07,8025.24,0,
ovm_1072,10211.8,8025.24,0,
ovm_1073,10211.7,7492.47,0,
ovm_1074,9679.16,7492.46,0,
ovm_1081,10572.4,8025.24,0,
ovm_1082,11105.1,8025.24,0,
ovm_1083,11105,7492.45,0,
ovm_1084,10572.5,7492.44,0,
